# RA DEC VAL WEIGHT SAMPLE
0.772735 0.0156177 0.299177 1 23
0.766601 0.0208243 0.0487888 1 23
0.772735 0.0260315 0.574384 1 23
0.76047 0.0260315 0.148561 1 23
0.766601 0.0312392 -0.272631 1 23
0.754336 0.0312392 -0.531751 1 23
0.76047 0.0364479 -0.140927 1 23
0.772735 0.0364479 0.0127494 1 23
0.766601 0.0416577 -0.315949 1 23
0.772735 0.0468683 -0.0774809 1 23
0.748203 0.0364479 0.251216 1 23
0.754336 0.0416577 0.326305 1 23
0.742071 0.0416577 0.23382 1 23
0.748203 0.0468683 -0.105673 1 23
0.76047 0.0468683 0.1186 1 23
0.766601 0.0520806 0.0951968 1 23
0.754336 0.0520806 0.250974 1 23
0.76047 0.057294 0.00810015 1 23
0.772735 0.057294 0.351257 1 23
0.766601 0.062509 0.148994 1 23
0.772735 0.0677258 0.185329 1 23
0.735938 0.0468683 -0.403453 1 23
0.742071 0.0520806 -0.124519 1 23
0.729804 0.0520806 0.0153973 1 23
0.735938 0.057294 0.199798 1 23
0.748203 0.057294 -0.0593241 1 23
0.754336 0.062509 0.209771 1 23
0.742071 0.062509 -0.0714854 1 23
0.748203 0.0677258 0.298492 1 23
0.723672 0.057294 -0.211253 1 23
0.729804 0.062509 -0.153502 1 23
0.717539 0.062509 0.279959 1 23
0.723672 0.0677258 0.446198 1 23
0.735938 0.0677258 0.291128 1 23
0.742071 0.0729445 -0.269671 1 23
0.729804 0.0729445 -0.229146 1 23
0.735938 0.0781651 -0.156389 1 23
0.76047 0.0677258 0.00743747 1 23
0.754336 0.0729445 -0.260879 1 23
0.76047 0.0781651 -0.114744 1 23
0.711405 0.0677258 0.280632 1 23
0.717539 0.0729445 0.194735 1 23
0.705274 0.0729445 0.226139 1 23
0.711405 0.0781651 -0.0834553 1 23
0.723672 0.0781651 0.283213 1 23
0.69914 0.0781651 0.437933 1 23
0.521289 0.231104 0.0435584 1 29
0.527422 0.236456 -0.144009 1 29
0.515155 0.236456 0.282545 1 29
0.521289 0.241813 0.0368454 1 29
0.509024 0.241813 -0.0149265 1 29
0.515155 0.247179 -0.0162806 1 29
0.527422 0.247179 0.0516696 1 29
0.521289 0.252552 0.357783 1 29
0.527422 0.257932 0.211749 1 29
0.50289 0.247179 0.0911484 1 29
0.509024 0.252552 -0.0347017 1 29
0.496758 0.252552 -0.238188 1 29
0.50289 0.257932 -0.214303 1 29
0.515155 0.257932 0.227477 1 29
0.521289 0.26332 -0.20862 1 29
0.509024 0.26332 0.200823 1 29
0.515155 0.268716 0.310739 1 29
0.527422 0.268716 -0.183345 1 29
0.521289 0.27412 0.0189133 1 29
0.490625 0.257932 -0.000785053 1 29
0.496758 0.26332 -0.0468209 1 29
0.484492 0.26332 0.17947 1 29
0.490625 0.268716 0.0443977 1 29
0.50289 0.268716 -0.0857227 1 29
0.509024 0.27412 0.54121 1 29
0.496758 0.27412 0.411391 1 29
0.50289 0.279532 0.729077 1 29
0.47836 0.268716 -0.0478257 1 29
0.484492 0.27412 0.301864 1 29
0.472226 0.27412 0.43608 1 29
0.47836 0.279532 0.278459 1 29
0.490625 0.279532 0.255334 1 29
0.496758 0.284952 0.251084 1 29
0.484492 0.284952 0.407151 1 29
0.490625 0.29038 -0.161032 1 29
0.515155 0.279532 0.218393 1 29
0.521289 0.284952 -0.23093 1 29
0.509024 0.284952 0.220668 1 29
0.515155 0.29038 -0.39586 1 29
0.527422 0.29038 -0.143224 1 29
0.533554 0.295819 -0.287375 1 29
0.521289 0.295819 -0.11534 1 29
0.527422 0.301266 0.113631 1 29
0.50289 0.29038 0.201659 1 29
0.515155 0.301266 -0.325126 1 29
0.521289 0.306722 0.265267 1 29
0.515155 0.312188 0.0646003 1 29
0.466095 0.279532 -0.105941 1 29
0.472226 0.284952 0.341314 1 29
0.459961 0.284952 -0.064286 1 29
0.466095 0.29038 -0.257239 1 29
0.47836 0.29038 -0.135844 1 29
0.484492 0.295819 0.234504 1 29
0.472226 0.295819 -0.268143 1 29
0.47836 0.301266 -0.24551 1 29
0.453828 0.29038 -0.0830284 1 29
0.459961 0.295819 -0.321568 1 29
0.447696 0.295819 -0.215926 1 29
0.453828 0.301266 0.0407125 1 29
0.466095 0.301266 0.157726 1 29
0.472226 0.306722 0.44026 1 29
0.459961 0.306722 0.274567 1 29
0.466095 0.312188 0.123069 1 29
0.490625 0.301266 -0.0124047 1 29
0.484492 0.306722 -0.198465 1 29
0.490625 0.312188 0.0231966 1 29
0.50289 0.312188 0.294174 1 29
0.509024 0.317663 0.0885987 1 29
0.496758 0.317663 0.51107 1 29
0.50289 0.323148 0.330947 1 29
0.47836 0.312188 0.299867 1 29
0.484492 0.317663 0.00300825 1 29
0.472226 0.317663 -0.107641 1 29
0.47836 0.323148 0.193165 1 29
0.490625 0.323148 0.503565 1 29
0.496758 0.328643 0.176258 1 29
0.484492 0.328643 0.122074 1 29
0.527422 0.312188 0.216998 1 29
0.533554 0.317663 -0.1733 1 29
0.521289 0.317663 0.0376687 1 29
0.527422 0.323148 0.243712 1 29
0.539687 0.323148 -0.0544072 1 29
0.533554 0.328643 -0.0414504 1 29
0.539687 0.334148 -0.014853 1 29
0.515155 0.323148 0.285638 1 29
0.521289 0.328643 0.338714 1 29
0.509024 0.328643 -0.127359 1 29
0.515155 0.334148 -0.0707835 1 29
0.527422 0.334148 0.335223 1 29
0.533554 0.339664 -0.0271969 1 29
0.521289 0.339664 0.142657 1 29
0.527422 0.345191 0.121811 1 29
0.50289 0.334148 -0.331575 1 29
0.509024 0.339664 0.233981 1 29
0.50289 0.345191 0.216898 1 29
0.515155 0.345191 0.0381362 1 29
0.521289 0.350729 0.142815 1 29
0.509024 0.350729 0.00475311 1 29
0.515155 0.356278 -0.0394282 1 29
0.533554 0.350729 0.397541 1 29
0.527422 0.356278 0.336404 1 29
0.533554 0.36184 0.433061 1 29
0.521289 0.36184 -0.0426278 1 29
0.527422 0.367411 0.460836 1 29
0.539687 0.367411 0.257048 1 29
0.545821 0.372995 -0.0745178 1 29
0.533554 0.372995 0.176072 1 29
0.539687 0.378593 -0.0979443 1 29
0.441563 0.301266 0.00392818 1 29
0.447696 0.306722 -0.125329 1 29
0.435429 0.306722 -0.290692 1 29
0.441563 0.312188 -0.0887901 1 29
0.453828 0.312188 0.108686 1 29
0.459961 0.317663 0.00257671 1 29
0.447696 0.317663 0.460204 1 29
0.453828 0.323148 0.240974 1 29
0.429297 0.312188 0.385233 1 29
0.435429 0.317663 0.333005 1 29
0.423164 0.317663 0.258241 1 29
0.429297 0.323148 0.548923 1 29
0.441563 0.323148 0.505051 1 29
0.447696 0.328643 0.37487 1 29
0.435429 0.328643 0.112263 1 29
0.441563 0.334148 0.197305 1 29
0.466095 0.323148 0.157868 1 29
0.47836 0.334148 -0.267114 1 29
0.484492 0.339664 0.322884 1 29
0.472226 0.339664 0.179917 1 29
0.47836 0.345191 0.273288 1 29
0.453828 0.334148 -0.268257 1 29
0.447696 0.339664 -0.348767 1 29
0.453828 0.345191 -0.0939088 1 29
0.466095 0.345191 0.382986 1 29
0.472226 0.350729 0.0394689 1 29
0.459961 0.350729 0.169788 1 29
0.466095 0.356278 -0.0997182 1 29
0.41703 0.323148 0.581334 1 29
0.423164 0.328643 -0.0137374 1 29
0.410899 0.328643 0.127366 1 28
0.41703 0.334148 0.144924 1 29
0.429297 0.334148 0.573464 1 29
0.435429 0.339664 -0.115602 1 29
0.423164 0.339664 -0.161327 1 29
0.429297 0.345191 0.328032 1 29
0.404765 0.334148 0.291169 1 28
0.410899 0.339664 -0.00128222 1 28
0.398633 0.339664 0.245043 1 28
0.404765 0.345191 0.160931 1 28
0.41703 0.345191 -0.143313 1 29
0.423164 0.350729 0.15383 1 29
0.410899 0.350729 0.214731 1 28
0.41703 0.356278 0.377322 1 29
0.441563 0.345191 0.29096 1 29
0.447696 0.350729 -0.348233 1 29
0.435429 0.350729 0.348912 1 29
0.441563 0.356278 0.651474 1 29
0.453828 0.356278 0.275403 1 29
0.459961 0.36184 0.197236 1 29
0.447696 0.36184 0.98689 1 29
0.453828 0.367411 0.299497 1 29
0.429297 0.356278 0.268088 1 29
0.435429 0.36184 -0.0487899 1 29
0.423164 0.36184 0.287072 1 29
0.429297 0.367411 0.162527 1 29
0.441563 0.367411 0.759792 1 29
0.447696 0.372995 0.58451 1 29
0.435429 0.372995 -0.0378398 1 29
0.441563 0.378593 0.0299358 1 29
0.490625 0.345191 -0.0932885 1 29
0.496758 0.350729 0.135221 1 29
0.484492 0.350729 -0.104462 1 29
0.490625 0.356278 0.20211 1 29
0.50289 0.356278 0.0492779 1 29
0.509024 0.36184 0.0392569 1 29
0.47836 0.356278 0.436655 1 29
0.484492 0.36184 -0.159241 1 29
0.472226 0.36184 -0.159361 1 29
0.47836 0.367411 0.362773 1 29
0.490625 0.367411 -0.235482 1 29
0.496758 0.372995 0.0896313 1 29
0.484492 0.372995 -0.0760947 1 29
0.490625 0.378593 -0.333475 1 29
0.515155 0.367411 0.364252 1 29
0.521289 0.372995 0.257603 1 29
0.509024 0.372995 -0.0131278 1 29
0.515155 0.378593 0.166274 1 29
0.527422 0.378593 0.340441 1 29
0.533554 0.384202 0.694049 1 31
0.521289 0.384202 0.0497682 1 31
0.527422 0.389824 0.274517 1 31
0.50289 0.378593 -0.559746 1 29
0.509024 0.384202 0.113675 1 31
0.496758 0.384202 -0.0853889 1 31
0.50289 0.389824 0.165416 1 31
0.515155 0.389824 0.840786 1 31
0.521289 0.395459 0.731472 1 31
0.509024 0.395459 -0.0997162 1 31
0.515155 0.401107 0.172622 1 31
0.466095 0.367411 -0.278041 1 29
0.472226 0.372995 0.0509434 1 29
0.459961 0.372995 -0.102404 1 29
0.466095 0.378593 0.0684757 1 29
0.47836 0.378593 0.53368 1 29
0.484492 0.384202 -0.0867515 1 31
0.472226 0.384202 -0.0691708 1 31
0.47836 0.389824 -0.213822 1 31
0.453828 0.378593 0.231259 1 29
0.459961 0.384202 -0.0752518 1 31
0.447696 0.384202 -0.269629 1 31
0.453828 0.389824 -0.156856 1 31
0.466095 0.389824 -0.00662506 1 31
0.472226 0.395459 -0.046194 1 31
0.459961 0.395459 0.251045 1 31
0.466095 0.401107 0.133612 1 31
0.490625 0.389824 -0.0436975 1 31
0.496758 0.395459 0.0200785 1 31
0.484492 0.395459 0.298722 1 31
0.490625 0.401107 0.00478375 1 31
0.50289 0.401107 0.119294 1 31
