#             i             j        cov_ij
             0              0    4.60383e-06
             0              1    4.78166e-06
             0              2     4.0957e-06
             0              3    4.05435e-06
             0              4    4.69651e-06
             0              5    4.30105e-06
             0              6    3.99421e-06
             0              7    3.93584e-06
             0              8    3.60543e-06
             0              9    3.41451e-06
             0             10     2.9323e-06
             0             11    2.55747e-06
             0             12    2.25191e-06
             0             13    1.89044e-06
             0             14    1.75417e-06
             0             15    1.25716e-06
             0             16    1.12314e-06
             0             17    8.75168e-07
             0             18    7.58749e-07
             0             19    2.45457e-08
             1              0    4.78166e-06
             1              1    5.89592e-06
             1              2    4.72142e-06
             1              3    4.74971e-06
             1              4    5.18314e-06
             1              5    4.94883e-06
             1              6    4.60607e-06
             1              7    4.50607e-06
             1              8    4.03338e-06
             1              9    3.80123e-06
             1             10    3.29642e-06
             1             11    2.91011e-06
             1             12    2.55049e-06
             1             13    2.19099e-06
             1             14    1.94963e-06
             1             15    1.33415e-06
             1             16    1.20657e-06
             1             17    9.56667e-07
             1             18    8.54222e-07
             1             19    6.95445e-08
             2              0     4.0957e-06
             2              1    4.72142e-06
             2              2    4.31728e-06
             2              3    4.08769e-06
             2              4    4.61285e-06
             2              5    4.33395e-06
             2              6    4.03906e-06
             2              7    3.86697e-06
             2              8    3.46403e-06
             2              9    3.22941e-06
             2             10    2.72128e-06
             2             11    2.34435e-06
             2             12    2.00843e-06
             2             13    1.72601e-06
             2             14     1.6117e-06
             2             15    1.19143e-06
             2             16    1.13256e-06
             2             17    9.22222e-07
             2             18    7.74882e-07
             2             19    2.23228e-07
             3              0    4.05435e-06
             3              1    4.74971e-06
             3              2    4.08769e-06
             3              3    4.46418e-06
             3              4    4.72778e-06
             3              5    4.50255e-06
             3              6    4.18929e-06
             3              7     4.1401e-06
             3              8    3.70024e-06
             3              9    3.40754e-06
             3             10    2.91899e-06
             3             11    2.54875e-06
             3             12    2.21764e-06
             3             13    1.80901e-06
             3             14    1.64055e-06
             3             15     1.2136e-06
             3             16    1.20125e-06
             3             17    9.67352e-07
             3             18    8.05921e-07
             3             19    7.70071e-08
             4              0    4.69651e-06
             4              1    5.18314e-06
             4              2    4.61285e-06
             4              3    4.72778e-06
             4              4    5.35963e-06
             4              5    5.08978e-06
             4              6    4.75649e-06
             4              7    4.69971e-06
             4              8     4.2793e-06
             4              9    3.91562e-06
             4             10    3.37366e-06
             4             11    2.94429e-06
             4             12    2.53014e-06
             4             13    2.11232e-06
             4             14    1.92607e-06
             4             15    1.46291e-06
             4             16    1.40901e-06
             4             17    1.20668e-06
             4             18    1.05453e-06
             4             19    3.63626e-07
             5              0    4.30105e-06
             5              1    4.94883e-06
             5              2    4.33395e-06
             5              3    4.50255e-06
             5              4    5.08978e-06
             5              5     5.0829e-06
             5              6    4.71536e-06
             5              7    4.67112e-06
             5              8    4.29919e-06
             5              9    3.91876e-06
             5             10    3.44105e-06
             5             11    3.02383e-06
             5             12    2.64228e-06
             5             13    2.23849e-06
             5             14    2.05189e-06
             5             15    1.56645e-06
             5             16    1.47653e-06
             5             17    1.28864e-06
             5             18    1.12487e-06
             5             19    4.05957e-07
             6              0    3.99421e-06
             6              1    4.60607e-06
             6              2    4.03906e-06
             6              3    4.18929e-06
             6              4    4.75649e-06
             6              5    4.71536e-06
             6              6    4.61866e-06
             6              7    4.48814e-06
             6              8    4.08295e-06
             6              9    3.69108e-06
             6             10    3.16884e-06
             6             11    2.76151e-06
             6             12     2.3439e-06
             6             13    2.01112e-06
             6             14    1.82248e-06
             6             15    1.36136e-06
             6             16    1.28452e-06
             6             17    1.11744e-06
             6             18    1.00876e-06
             6             19    3.55331e-07
             7              0    3.93584e-06
             7              1    4.50607e-06
             7              2    3.86697e-06
             7              3     4.1401e-06
             7              4    4.69971e-06
             7              5    4.67112e-06
             7              6    4.48814e-06
             7              7    4.66488e-06
             7              8    4.22208e-06
             7              9    3.78101e-06
             7             10    3.30548e-06
             7             11    2.90186e-06
             7             12    2.49079e-06
             7             13    2.13893e-06
             7             14    1.92956e-06
             7             15    1.41992e-06
             7             16    1.30469e-06
             7             17     1.2068e-06
             7             18    1.06617e-06
             7             19    3.23393e-07
             8              0    3.60543e-06
             8              1    4.03338e-06
             8              2    3.46403e-06
             8              3    3.70024e-06
             8              4     4.2793e-06
             8              5    4.29919e-06
             8              6    4.08295e-06
             8              7    4.22208e-06
             8              8    3.97242e-06
             8              9    3.56763e-06
             8             10    3.13822e-06
             8             11    2.75954e-06
             8             12    2.41162e-06
             8             13    2.06134e-06
             8             14    1.85323e-06
             8             15    1.40287e-06
             8             16    1.28282e-06
             8             17    1.17956e-06
             8             18    1.04495e-06
             8             19    4.27881e-07
             9              0    3.41451e-06
             9              1    3.80123e-06
             9              2    3.22941e-06
             9              3    3.40754e-06
             9              4    3.91562e-06
             9              5    3.91876e-06
             9              6    3.69108e-06
             9              7    3.78101e-06
             9              8    3.56763e-06
             9              9    3.35711e-06
             9             10     2.9795e-06
             9             11    2.61568e-06
             9             12     2.3284e-06
             9             13    2.02479e-06
             9             14    1.83613e-06
             9             15    1.38459e-06
             9             16    1.23395e-06
             9             17    1.12338e-06
             9             18    9.92142e-07
             9             19    4.04439e-07
            10              0     2.9323e-06
            10              1    3.29642e-06
            10              2    2.72128e-06
            10              3    2.91899e-06
            10              4    3.37366e-06
            10              5    3.44105e-06
            10              6    3.16884e-06
            10              7    3.30548e-06
            10              8    3.13822e-06
            10              9     2.9795e-06
            10             10    2.79623e-06
            10             11    2.48267e-06
            10             12     2.2397e-06
            10             13    1.96589e-06
            10             14    1.78594e-06
            10             15    1.33734e-06
            10             16    1.18068e-06
            10             17    1.09724e-06
            10             18    9.80368e-07
            10             19    3.78179e-07
            11              0    2.55747e-06
            11              1    2.91011e-06
            11              2    2.34435e-06
            11              3    2.54875e-06
            11              4    2.94429e-06
            11              5    3.02383e-06
            11              6    2.76151e-06
            11              7    2.90186e-06
            11              8    2.75954e-06
            11              9    2.61568e-06
            11             10    2.48267e-06
            11             11    2.29321e-06
            11             12    2.08481e-06
            11             13    1.84419e-06
            11             14    1.65965e-06
            11             15    1.21016e-06
            11             16    1.06197e-06
            11             17    9.44958e-07
            11             18    8.38946e-07
            11             19    3.00347e-07
