#             x          xi(x)          error      N_entries
     0.0164373     0.00750195    0.000864171          47636
     0.0195873     0.00729962    0.000930864          31442
     0.0233409     0.00610585    0.000877585          63226
     0.0278139      0.0054506    0.000898047          52443
     0.0331441     0.00470862    0.000945748         125212
     0.0394957     0.00432148    0.000917572         163126
     0.0470645     0.00435124    0.000876066         221268
     0.0560838     0.00368817    0.000886487         280938
     0.0668315     0.00291518    0.000816759         427945
     0.0796389     0.00295405    0.000744155         545027
     0.0949007     0.00271419    0.000675392         791592
      0.113087     0.00233359     0.00060868    1.16759e+06
      0.134759     0.00222561    0.000566257    1.50656e+06
      0.160584     0.00201171    0.000520459     2.0063e+06
      0.191357     0.00145232    0.000495603    2.81034e+06
      0.228028     0.00150451    0.000395475    3.67782e+06
      0.271727     0.00145872    0.000377451    4.79377e+06
        0.3238     0.00144791    0.000390468    6.18616e+06
      0.385852     0.00134775    0.000331908    7.73153e+06
      0.459795     0.00091136    0.000295914    9.33978e+06
